Conventions,abstract,date_created,file_path,geospatial_east_max,geospatial_east_min,geospatial_east_resolution,geospatial_east_units,geospatial_north_max,geospatial_north_min,geospatial_north_resolution,geospatial_north_units,history,keywords,location_accuracy_max,location_accuracy_min,survey_end_date,survey_start_date,title
"CF-1.6,ACDD-1.3","This gravity survey, 195051, Bordertown Wolseley Nhill Grav located in SA,VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:29:04.172393,K:\alex\195051.nc,141.65305,140.77855,point,degrees_east,-36.301826,-36.380226,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195051, AUS, SA,VIC, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Bordertown Wolseley Nhill Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195052, Kingston SE, Naracoorte Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:29:49.228393,K:\alex\195052.nc,140.98276,139.77248,point,degrees_east,-36.553833,-37.036648,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195052, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Kingston SE, Naracoorte Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195099, Cambridge Pendulum Isogals located in All States measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:30:33.439393,K:\alex\195099.nc,153.0194,113.66303,point,degrees_east,-12.420232,-38.56681,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195099, AUS, All States, Earth sciences, geophysics, geoscientificInformation",-12,-12,30/04/1951 0:00,1/04/1950 0:00,Cambridge Pendulum Isogals
"CF-1.6,ACDD-1.3","This gravity survey, 195103, Melbourne-Albury-Wagga Wagga, Grav located in NSW,VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:31:16.703393,K:\alex\195103.nc,147.24957,144.22049,point,degrees_east,-35.191788,-37.696827,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195103, AUS, NSW,VIC, Earth sciences, geophysics, geoscientificInformation",100,100,30/11/1951 0:00,1/11/1951 0:00,"Melbourne-Albury-Wagga Wagga, Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195105, Carnarvon-Onslow Area Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:31:56.954393,K:\alex\195105.nc,116.114685,116.114685,point,degrees_east,-23.75953,-23.75953,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195105, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,31/10/1951 0:00,1/09/1951 0:00,Carnarvon-Onslow Area Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195106, South West Rosedale Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:32:38.490393,K:\alex\195106.nc,146.80363,146.6278,point,degrees_east,-38.154476,-38.317307,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195106, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",50,50,30/01/1951 0:00,10/01/1951 0:00,South West Rosedale Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195107, North West Rosedale Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:33:21.247393,K:\alex\195107.nc,146.79497,146.4806,point,degrees_east,-38.01098,-38.184177,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195107, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,2/06/1951 0:00,9/05/1951 0:00,North West Rosedale Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195108, South East Rosedale Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:34:04.041393,K:\alex\195108.nc,147.09062,146.80229,point,degrees_east,-38.146774,-38.299145,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195108, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",50,50,2/06/1951 0:00,16/05/1951 0:00,South East Rosedale Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195109, Yarram Grav, Gippsland located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:34:48.231393,K:\alex\195109.nc,147.08397,146.41248,point,degrees_east,-38.306973,-38.699814,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195109, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,26/10/1951 0:00,22/08/1951 0:00,"Yarram Grav, Gippsland"
"CF-1.6,ACDD-1.3","This gravity survey, 195110, Moe-Yallourn-Hazelwood-Loy Yan, Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:35:32.727393,K:\alex\195110.nc,147.06647,146.26048,point,degrees_east,-38.142483,-38.26865,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195110, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,28/02/1952 0:00,1/12/1951 0:00,"Moe-Yallourn-Hazelwood-Loy Yan, Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195150, Northern Penola Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:36:14.390393,K:\alex\195150.nc,140.84087,139.75198,point,degrees_east,-37.01314,-37.374638,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195150, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Northern Penola Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195203, Koo-Wee-Rup Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:37:00.313393,K:\alex\195203.nc,145.76631,145.0105,point,degrees_east,-38.03932,-38.41182,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195203, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,29/01/1953 0:00,4/12/1952 0:00,Koo-Wee-Rup Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195204, E Highlands Gippsland Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:37:40.932393,K:\alex\195204.nc,148.54694,147.06561,point,degrees_east,-37.373463,-37.964973,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195204, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,12/07/1952 0:00,6/02/1952 0:00,E Highlands Gippsland Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195205, Geraldton-Perth-Albany Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:38:25.019393,K:\alex\195205.nc,117.88512,114.96143,point,degrees_east,-29.93987,-35.04324,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195205, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,30/09/1952 0:00,1/07/1951 0:00,Geraldton-Perth-Albany Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195206, Nerrima-Luluigui Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:39:07.758393,K:\alex\195206.nc,124.50295,123.53128,point,degrees_east,-18.115273,-18.708605,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195206, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,10/10/1952 0:00,10/07/1952 0:00,Nerrima-Luluigui Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195207, North East Rosedale Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:39:51.846393,K:\alex\195207.nc,146.99779,146.6638,point,degrees_east,-37.898476,-38.138676,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195207, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,1/09/1952 0:00,14/08/1952 0:00,North East Rosedale Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195208, Giffard-Willung Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:40:32.830393,K:\alex\195208.nc,147.1133,146.7983,point,degrees_east,-38.272144,-38.477474,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195208, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,24/03/1952 0:00,20/03/1952 0:00,Giffard-Willung Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195209, Maffra Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:41:18.075393,K:\alex\195209.nc,147.07562,146.7878,point,degrees_east,-37.80847,-38.06864,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195209, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",-6,-6,30/11/1952 0:00,1/10/1952 0:00,Maffra Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195240, Cape Jaffa Fault Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:42:03.227393,K:\alex\195240.nc,139.85138,139.67638,point,degrees_east,-36.819946,-37.32355,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195240, AUS, SA, Earth sciences, geophysics, geoscientificInformation",100,100,,,Cape Jaffa Fault Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195250, Mount Gambier, Port McDonnell - SADM Road Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:42:44.979393,K:\alex\195250.nc,140.96968,140.70657,point,degrees_east,-37.38794,-37.997143,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195250, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Mount Gambier, Port McDonnell - SADM Road Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195251, Beachport, Millicent, Nangwarry Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:43:29.802393,K:\alex\195251.nc,140.96227,140.35518,point,degrees_east,-37.53494,-37.594646,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195251, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Beachport, Millicent, Nangwarry Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195252, Coonawarra, Lucindale Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:44:15.098393,K:\alex\195252.nc,140.88327,140.51697,point,degrees_east,-36.965237,-37.26344,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195252, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Coonawarra, Lucindale Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195253, Millicent, Mount Gambier - SADM Road Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:45:00.743393,K:\alex\195253.nc,140.80917,140.35909,point,degrees_east,-37.56914,-37.952442,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195253, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Millicent, Mount Gambier - SADM Road Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195254, Mount Gambier, Tantanoola, Greenway - SADM Road Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:45:47.641393,K:\alex\195254.nc,140.96808,140.41357,point,degrees_east,-37.676346,-37.997444,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195254, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Mount Gambier, Tantanoola, Greenway - SADM Road Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195256, Moorlands Region - SADM Road Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:46:31.976393,K:\alex\195256.nc,140.02124,139.50485,point,degrees_east,-35.248634,-35.49324,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195256, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Moorlands Region - SADM Road Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195303, Maffra-Bruthen Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:47:16.327393,K:\alex\195303.nc,147.07396,146.92513,point,degrees_east,-38.005142,-38.14247,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195303, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,28/02/1953 0:00,6/01/1953 0:00,Maffra-Bruthen Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195304, South Gippsland Hills Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:48:00.107393,K:\alex\195304.nc,146.9893,146.28781,point,degrees_east,-38.28148,-38.618313,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195304, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",50,50,4/06/1953 0:00,26/05/1953 0:00,South Gippsland Hills Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195307, Geraldton-Carnarvon, Canning Basin Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:48:45.514393,K:\alex\195307.nc,114.16471,114.16471,point,degrees_east,-26.400412,-26.400412,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195307, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,29/11/1953 0:00,1/07/1953 0:00,"Geraldton-Carnarvon, Canning Basin Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195308, Kimberley Region Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:49:30.724393,K:\alex\195308.nc,125.7771,123.61794,point,degrees_east,-17.311935,-18.688597,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195308, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,30/09/1953 0:00,1/06/1953 0:00,Kimberley Region Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195309, Poole Range Detail Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:50:13.399393,K:\alex\195309.nc,126.06044,125.35461,point,degrees_east,-18.456924,-19.119427,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195309, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,18/10/1953 0:00,8/06/1953 0:00,Poole Range Detail Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195310, Poole Range Detail Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:50:57.649393,K:\alex\195310.nc,126.7121,125.541275,point,degrees_east,-18.439423,-18.893593,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195310, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,30/09/1953 0:00,1/09/1953 0:00,Poole Range Detail Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195313, Snowy Mountain Area Grav located in NSW measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:51:39.988393,K:\alex\195313.nc,149.09456,148.62457,point,degrees_east,-36.043446,-36.405117,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195313, AUS, NSW, Earth sciences, geophysics, geoscientificInformation",100,100,31/07/1953 0:00,1/03/1953 0:00,Snowy Mountain Area Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195350, Naracoorte Region Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:52:23.042393,K:\alex\195350.nc,140.97177,139.75246,point,degrees_east,-36.327442,-37.246838,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195350, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Naracoorte Region Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195351, Pinnaroo Region Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:53:06.038393,K:\alex\195351.nc,140.90384,139.50305,point,degrees_east,-34.947224,-35.384735,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195351, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Pinnaroo Region Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195352, Renmark Region Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:53:51.484393,K:\alex\195352.nc,140.53693,139.81744,point,degrees_east,-34.18303,-34.971638,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195352, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Renmark Region Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195360, Isostatic Study-Mt Lofty Range, Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:54:36.961393,K:\alex\195360.nc,140.17635,138.12633,point,degrees_east,-33.138535,-35.961838,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195360, AUS, SA, Earth sciences, geophysics, geoscientificInformation",100,100,30/12/1959 0:00,1/01/1953 0:00,"Isostatic Study-Mt Lofty Range, Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195401, Great Barrier Reef, Adjacent Coast North Qld 1954 1958 1960 located in NSW,QLD measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:55:19.446393,K:\alex\195401.nc,146.40108,145.25275,point,degrees_east,-14.663488,-17.675138,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195401, AUS, NSW,QLD, Earth sciences, geophysics, geoscientificInformation",-25,-25,30/06/1960 0:00,1/07/1954 0:00,"Great Barrier Reef, Adjacent Coast North Qld 1954 1958 1960"
"CF-1.6,ACDD-1.3","This gravity survey, 195406, Halls Ck-Derby-Broome-Kimberley, Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:56:01.666393,K:\alex\195406.nc,127.62459,122.25228,point,degrees_east,-17.117771,-18.726088,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195406, AUS, WA, Earth sciences, geophysics, geoscientificInformation",-6,-6,31/10/1954 0:00,1/06/1954 0:00,"Halls Ck-Derby-Broome-Kimberley, Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195451, Renmark Region Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:56:44.035393,K:\alex\195451.nc,140.94012,139.56274,point,degrees_east,-34.00873,-35.31003,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195451, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Renmark Region Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195453, Murray Bridge, Meningie, Coonalpyn - SADM Road Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:57:27.570393,K:\alex\195453.nc,139.74486,139.16406,point,degrees_east,-35.03334,-35.729046,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195453, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,"Murray Bridge, Meningie, Coonalpyn - SADM Road Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 195491, Establish Brennock Park-Kallista Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:58:09.291393,K:\alex\195491.nc,145.37631,145.37631,point,degrees_east,-37.88516,-37.88516,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195491, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",50,50,,,Establish Brennock Park-Kallista Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195505, Christmas Creek-Derby-Broome-Anna Plains Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:58:51.307393,K:\alex\195505.nc,126.307106,121.48463,point,degrees_east,-16.7386,-19.338596,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195505, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,30/09/1955 0:00,1/06/1955 0:00,Christmas Creek-Derby-Broome-Anna Plains Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195507, Foster Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:59:37.421393,K:\alex\195507.nc,146.38132,145.73633,point,degrees_east,-38.17515,-39.031815,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195507, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,31/10/1955 0:00,1/10/1955 0:00,Foster Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195508, Corner Inlet Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T15:00:21.948393,K:\alex\195508.nc,146.95447,146.42398,point,degrees_east,-38.571148,-38.789654,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195508, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",50,50,31/08/1955 0:00,1/04/1955 0:00,Corner Inlet Grav
